,genre,budget_norm,votes_norm,votes,budget,country,year,score_norm,score,rating,isprofit,profitability_ratio
1856,4,-0.833241481252337,-0.5876973206967286,22072,10000000,1,2008,-1.263444380438086,5.2,5,0,-0.243633
1857,3,0.2203191807705572,-0.2774460119660198,40064,35000000,0,2008,1.083445370155039,7.2,2,0,-0.950523857
1858,4,-1.1282384666187473,-0.4602997735145101,29460,3000000,1,2008,0.2620339574474452,6.5,6,0,-0.024478333
1859,2,-0.8964551209737106,-0.1794147375032542,45749,8500000,1,2008,-0.4420329677304919,5.9,4,1,3.136653412
1860,5,-0.6225293488477581,-0.19322705955157,44948,15000000,0,2008,0.4967229325067578,6.7,6,0,-0.8530906
1861,6,-0.2011050840386004,-0.6509477542463196,18404,25000000,1,2008,0.2620339574474452,6.5,6,0,-0.56353
1862,5,-1.043953613656916,-0.9275218283198988,2365,5000000,1,2008,0.379378444977101,6.6,6,0,-0.9307428
1863,6,-0.4118172164431792,-0.7858463752000955,10581,20000000,0,2008,0.4967229325067578,6.7,5,0,-0.67927185
1864,1,1.2738798427934517,-0.3899448746916282,33540,60000000,1,2008,-1.6154778430270544,4.9,4,0,-0.803299067
1865,4,-1.043953613656916,-0.7432540712558507,13051,5000000,1,2008,0.6140674200364137,6.8,5,0,-0.1918824
1866,5,-0.833241481252337,-0.5495884171676676,24282,10000000,0,2008,-0.2073439926711802,6.1,6,0,-0.9996393
1867,0,-0.3275323634813477,-0.0895915345698248,50958,22000000,1,2008,0.8487563950957264,7.0,5,1,0.069583227
1868,4,-0.3696747899622635,-0.6968853646542014,15740,21000000,1,2008,-0.2073439926711802,6.1,5,0,-0.224554286
1869,4,-0.2011050840386004,-0.5456395760327559,24511,25000000,1,2008,-0.6767219427898046,5.7,6,0,-0.95636212
1870,5,-0.4961020694050108,-0.7133877269516273,14783,18000000,0,2008,-1.3807888679677427,5.1,6,0,-0.983333333
1871,2,-0.2011050840386004,-0.615218501706856,20476,25000000,1,2008,-0.324688480200836,6.0,4,0,-0.21885592
1872,1,-0.4118172164431792,-0.6341177588416302,19380,20000000,1,2008,-1.14609989290843,5.3,6,0,-0.67183215
1873,2,1.2738798427934517,-0.4076715501793543,32512,60000000,0,2008,-0.2073439926711802,6.1,0,0,-0.152047583
1874,0,-0.2011050840386004,-0.5504850972507044,24230,25000000,1,2008,-1.263444380438086,5.2,6,0,-0.9997272
1875,6,-0.2011050840386004,-0.8006933281134536,9720,25000000,0,2008,0.6140674200364137,6.8,5,0,-0.95252172
1876,4,-1.001811187176,-0.4845791111475047,28052,6000000,0,2008,0.8487563950957264,7.0,6,0,-0.653814
