budget,company,country,director,genre,gross,name,rating,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
2000000,American Playhouse,USA,Jerrold Freedman,Drama,1301121,Native Son,PG,12.12.1986 00:00,Victor Love,Richard Wesley,1986,0,-0.3494395,-30
18000000,J&M; Entertainment,UK,Zoran Perisic,Action,2295500,Sky Bandits,PG,31.10.1986 00:00,Scott McGinnis,Thom Keyes,1986,0,-0.872472222,-90
1500000,Cinetel Films,USA,Fred Olen Ray,Action,1368912,Armed Response,R,3.10.1986 00:00,David Carradine,T.L. Lankford,1986,0,-0.087392,-10
16000000,Act III Communications,USA,Rob Reiner,Adventure,30857814,The Princess Bride,PG,9.10.1987 00:00,Cary Elwes,William Goldman,1987,1,0.928613375,90
1000000,Cinemarque Entertainment BV,UK,Clive Barker,Horror,14564027,Hellraiser,R,18.09.1987 00:00,Andrew Robinson,Clive Barker,1987,1,13.564027,1360
30000000,Natant,UK,Stanley Kubrick,Drama,46357676,Full Metal Jacket,R,10.07.1987 00:00,Matthew Modine,Gustav Hasford,1987,1,0.545255867,50
6000000,Great American Films Limited Partnership,USA,Emile Ardolino,Drama,63952836,Dirty Dancing,PG-13,21.08.1987 00:00,Patrick Swayze,Eleanor Bergstein,1987,1,9.658806,969
15000000,Amercent Films,USA,John McTiernan,Action,59735548,Predator,R,12.06.1987 00:00,Arnold Schwarzenegger,Jim Thomas,1987,1,2.982369867,300
27000000,Braveworld Productions,USA,Paul Michael Glaser,Action,38122105,The Running Man,R,13.11.1987 00:00,Arnold Schwarzenegger,Stephen King,1987,1,0.411929815,40
22700000,Brooksfilms,USA,Mel Brooks,Adventure,38119483,Spaceballs,PG,24.06.1987 00:00,Mel Brooks,Mel Brooks,1987,1,0.679272379,70
13000000,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,R,17.07.1987 00:00,Peter Weller,Edward Neumeier,1987,1,3.109590846,310
15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,R,6.03.1987 00:00,Mel Gibson,Shane Black,1987,1,3.3471418,330
25000000,Paramount Pictures,USA,Brian De Palma,Crime,76270454,The Untouchables,R,3.06.1987 00:00,Kevin Costner,Oscar Fraley,1987,1,2.05081816,210
3600000,De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,5923044,Evil Dead II,R,13.03.1987 00:00,Bruce Campbell,Sam Raimi,1987,1,0.64529,60
22000000,Golan-Globus Productions,USA,Gary Goddard,Action,17336370,Masters of the Universe,PG,7.08.1987 00:00,Dolph Lundgren,David Odell,1987,0,-0.211983182,-20
12000000,Home Box Office (HBO),USA,Fred Dekker,Action,3769990,The Monster Squad,PG-13,14.08.1987 00:00,Andre Gower,Shane Black,1987,0,-0.685834167,-70
14000000,Paramount Pictures,USA,Adrian Lyne,Drama,156645693,Fatal Attraction,R,18.09.1987 00:00,Michael Douglas,James Dearden,1987,1,10.18897807,1019
30000000,Eon Productions,UK,John Glen,Action,51185897,The Living Daylights,PG,31.07.1987 00:00,Timothy Dalton,Richard Maibaum,1987,1,0.706196567,70
15000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,R,11.12.1987 00:00,Charlie Sheen,Stanley Weiser,1987,1,1.923206667,190
35000000,Amblin Entertainment,USA,Steven Spielberg,Drama,22238696,Empire of the Sun,PG,25.12.1987 00:00,Christian Bale,Tom Stoppard,1987,0,-0.364608686,-40
22000000,Warner Bros.,USA,George Miller,Comedy,63766510,The Witches of Eastwick,R,12.06.1987 00:00,Jack Nicholson,John Updike,1987,1,1.898477727,190
4500000,New Line Cinema,USA,Chuck Russell,Action,44793222,A Nightmare on Elm Street 3: Dream Warriors,R,27.02.1987 00:00,Heather Langenkamp,Wes Craven,1987,1,8.954049333,900
23000000,Universal Pictures,USA,Joseph Sargent,Adventure,20763013,Jaws: The Revenge,PG-13,17.07.1987 00:00,Lorraine Gary,Peter Benchley,1987,0,-0.097260304,-10
25000000,Cannon Group,USA,Menahem Golan,Action,16057580,Over the Top,PG,13.02.1987 00:00,Sylvester Stallone,Gary Conway,1987,0,-0.3576968,-40
30000000,Paramount Pictures,USA,John Hughes,Comedy,49530280,"Planes, Trains & Automobiles",R,25.11.1987 00:00,Steve Martin,John Hughes,1987,1,0.651009333,70
6000000,Circle Films,USA,Joel Coen,Comedy,22847564,Raising Arizona,PG-13,17.04.1987 00:00,Nicolas Cage,Ethan Coen,1987,1,2.807927333,280
17000000,Carolco International N.V.,UK,Alan Parker,Horror,17185632,Angel Heart,R,6.03.1987 00:00,Mickey Rourke,William Hjortsberg,1987,1,0.010919529,0
6000000,Gladden Entertainment,USA,Michael Gottlieb,Comedy,42721196,Mannequin,PG,13.02.1987 00:00,Andrew McCarthy,Edward Rugoff,1987,1,6.120199333,610
