,rating,year,budget,country,budget_norm,isprofit,profitability_ratio
137,6,1988,7000000,1,-1.007416137342697,0,-0.236489
138,6,1988,16000000,1,-0.6306180348779747,1,0.576015188
139,6,1988,3700000,1,-1.145575441579762,0,-0.690431351
140,4,1988,17500000,1,-0.5678183511338543,1,0.081423943
141,5,1988,15000000,0,-0.6724844907073882,0,-0.539413533
142,5,1988,20000000,1,-0.4631522115603202,1,1.1592399
143,6,1988,4000000,1,-1.1330155048309378,0,-0.132857
144,4,1988,20000000,1,-0.4631522115603202,0,-0.4100849
145,4,1988,18000000,1,-0.5468851232191475,0,-0.895343833
146,6,1988,210000,1,-1.2916893724244154,0,-0.4888
147,4,1988,15000000,1,-0.6724844907073882,0,-0.884462
148,6,1988,15000000,1,-0.6724844907073882,1,0.402151133
149,6,1988,3000000,1,-1.1748819606603516,0,-0.371895
150,4,1988,4000000,1,-1.1330155048309378,1,3.06560375
151,6,1988,19000000,1,-0.5050186673897339,0,-0.420773474
152,6,1988,19000000,1,-0.5050186673897339,0,-0.758186737
153,6,1988,1000000,1,-1.2586148723191788,0,-0.507481
154,6,1988,5000000,0,-1.0911490490015243,0,-0.9141944
155,4,1988,18000000,1,-0.5468851232191475,0,-0.492777833
156,4,1988,13000000,1,-0.7562174023662155,0,-0.980075462
157,6,1988,7000000,0,-1.007416137342697,0,-0.980542429
158,6,1989,55000000,1,1.0021737424691557,1,0.152883891
159,5,1989,27000000,1,-0.170087020754425,1,1.641481481
160,4,1989,10000000,1,-0.8818167698544563,1,3.0485039
161,4,1989,40000000,1,0.3741769050279517,1,1.9625
162,6,1989,6500000,1,-1.0283493652574038,1,3.237760769
163,6,1989,18000000,1,-0.5468851232191475,1,0.490555556
164,4,1989,37000000,1,0.2485775375397109,1,2.040398324
165,5,1989,31000000,1,-0.0026211974367706,1,2.227349355
166,5,1989,32000000,0,0.0392452583926429,1,0.083344219
167,4,1989,27800000,1,-0.1365938560908942,1,0.878059317
168,6,1989,22500000,1,-0.3584860719867863,0,-0.170163689
169,6,1989,18000000,1,-0.5468851232191475,1,1.606054833
170,6,1989,6000000,1,-1.0492825931721106,1,2.6947265
171,6,1989,5000000,1,-1.0911490490015243,1,1.8687952
172,6,1989,30000000,1,-0.0444876532661842,1,1.028829
173,0,1989,13800000,0,-0.7227242377026846,1,0.963770072
174,4,1989,8000000,1,-0.9655496815132836,1,3.39387
175,4,1989,6000000,1,-1.0492825931721106,1,1.379816667
176,4,1989,18000000,1,-0.5468851232191475,0,-0.5272865
177,6,1989,19000000,1,-0.5050186673897339,1,2.082711211
178,6,1989,24000000,1,-0.2956863882426659,0,-0.079173042
179,5,1989,5000000,1,-1.0911490490015243,1,0.2314314
180,6,1989,13000000,1,-0.7562174023662155,1,0.294117615
181,4,1989,5000000,0,-1.0911490490015243,1,0.391595
182,5,1989,19000000,1,-0.5050186673897339,0,-0.039226211
183,6,1989,5000000,1,-1.0911490490015243,1,2.3109398
184,5,1989,15000000,1,-0.6724844907073882,1,1.706
185,6,1989,10000000,1,-0.8818167698544563,0,-0.7307963
186,4,1989,15000000,1,-0.6724844907073882,0,-0.2824354
187,4,1989,10000000,1,-0.8818167698544563,0,-0.8727023
188,5,1989,4000000,1,-1.1330155048309378,0,-0.951796
189,6,1989,20000000,1,-0.4631522115603202,0,-0.6381103
190,5,1989,17000000,1,-0.5887515790485611,1,1.543979235
191,5,1989,8000000,1,-0.9655496815132836,1,1.011706375
192,4,1989,12000000,1,-0.7980838581956291,0,-0.03606525
193,5,1989,13000000,1,-0.7562174023662155,1,0.694615385
194,6,1989,5000000,1,-1.0911490490015243,0,-0.6160694
195,5,1989,18000000,1,-0.5468851232191475,0,-0.723706389
196,6,1989,4000000,1,-1.1330155048309378,0,-0.9290765
197,5,1989,2500000,1,-1.1958151885750583,0,-0.9825004
198,6,1989,34000000,1,0.1229781700514701,0,-0.894874824
199,5,1989,20000000,1,-0.4631522115603202,0,-0.87895415
200,4,1989,16000000,1,-0.6306180348779747,0,-0.995757625
201,6,1989,17000000,1,-0.5887515790485611,0,-0.790533412
202,6,1990,26000000,1,-0.2119534765838387,1,1.365
203,6,1990,20000000,1,-0.4631522115603202,1,2.0638436
204,5,1990,20000000,1,-0.4631522115603202,1,1.8181176
205,6,1990,54000000,1,0.960307286639742,1,0.234556704
206,4,1990,30000000,1,-0.0444876532661842,1,3.0670881
207,6,1990,13000000,1,-0.7562174023662155,1,1.192431154
208,5,1990,11000000,1,-0.8399503140250427,1,0.515189455
209,4,1990,25000000,1,-0.2538199324132523,1,0.57617044
210,6,1990,9500000,1,-0.9027499977691632,1,0.532657579
211,6,1990,25000000,1,-0.2538199324132523,1,0.04475404
212,5,1990,31000000,1,-0.0026211974367706,1,0.716392903
213,6,1990,70000000,1,1.6301705799103596,1,0.679156386
214,4,1990,47000000,1,0.6672420958338469,1,1.207206936
215,5,1990,60000000,1,1.2115060216162237,1,0.37784555
216,5,1990,11000000,1,-0.8399503140250427,0,-0.248514273
217,4,1990,40000000,1,0.3741769050279517,1,1.193189575
218,5,1990,42000000,1,0.4579098166867789,0,-0.025086714
219,5,1990,26000000,1,-0.2119534765838387,1,2.517603385
220,6,1990,35000000,1,0.1648446258808837,0,-0.123731057
221,6,1990,35000000,1,0.1648446258808837,1,0.305176371
222,6,1990,14000000,1,-0.7143509465368019,0,-0.637113643
223,6,1990,40000000,1,0.3741769050279517,0,-0.46466245
224,6,1990,16000000,1,-0.6306180348779747,1,1.117406375
225,5,1990,50000000,1,0.7928414633220877,0,-0.17035586
226,6,1990,11000000,1,-0.8399503140250427,0,-0.194331455
227,5,1990,31000000,1,-0.0026211974367706,1,0.142561194
228,5,1990,20000000,1,-0.4631522115603202,1,1.2071705
229,6,1990,5200000,1,-1.0827757578356416,0,-0.526943269
230,6,1990,12000000,1,-0.7980838581956291,1,2.837033333
