,rating,country,votes_norm,popularity_norm,score,votes,budget_norm,company,score_norm,genre,year,writer,popularity,budget,isprofit,profitability_ratio
306,4,1,-0.3898367351278575,-0.7959534182894374,6.5,57854,-0.174303227615999,10,0.0891764859868523,0,2013,169,7.150388,30000000,0,-0.637302467
307,4,0,-0.3141351571508576,-0.2609073008629077,5.6,64085,-0.4893175680331609,10,-1.1277210214391336,0,2013,276,9.251084,20000000,0,-0.59959195
308,3,1,0.465295870792398,1.236675548549372,7.5,128240,-0.016796057407418,18,1.4412848275712806,3,2013,268,15.130888,35000000,1,1.380045143
309,4,1,0.9585528224640708,0.7796489668815123,6.7,168840,0.8022412276772031,17,0.3595981543037382,0,2013,40,13.336512,61000000,1,0.239548525
310,3,1,-0.0811988139390107,1.023525473886202,5.9,83258,-0.7413290403668905,10,-0.7220885189638041,3,2013,307,14.294019,12000000,1,0.34312025
311,4,1,0.2228102673831634,0.2617757052234357,7.9,108281,-1.0248419467423362,10,1.9821281642050523,6,2013,395,11.30324,3000000,1,1.704875667
312,3,1,-0.2477034080932047,0.8321585697498021,6.5,69553,-0.6468247382417419,10,0.0891764859868523,0,2013,256,13.542675,15000000,1,1.8620308
313,4,1,-0.6874553446131031,-0.9912763142951364,6.2,33357,-0.8043319084503229,10,-0.3164560164884759,3,2013,32,6.383512,10000000,0,-0.9643418
314,4,1,-0.598146678314126,-0.922993174440902,5.6,40708,-0.016796057407418,10,-1.1277210214391336,4,2013,259,6.651605,35000000,0,-0.377587657
315,4,1,0.0951223225046097,0.9394423083031438,6.2,97771,-0.016796057407418,10,-0.3164560164884759,0,2013,218,13.963892,35000000,0,-0.496857657
316,3,1,0.2309745203763498,1.5531992157977228,7.6,108953,-0.5208190020748772,5,1.576495661729723,6,2013,300,16.373622,19000000,1,0.130972684
317,3,1,0.6379601022494871,-0.6812462095440673,6.3,142452,0.4557254532183249,11,-0.1812451823300335,4,2013,483,7.600751,50000000,1,1.54705414
318,2,1,-0.7205740256539155,0.0930689018227937,5.4,30631,2.188304325512716,1,-1.3981426897560183,2,2013,166,10.640864,105000000,0,-0.323640152
319,4,1,0.0702772371309996,-0.4239167322493631,6.7,95726,-0.7098276063251743,15,0.3595981543037382,5,2013,393,8.611077,13000000,1,2.990182923
320,4,1,-0.467676569841168,0.3142876003867824,7.1,51447,-1.0857604594395305,10,0.9004414909375088,5,2013,204,11.509412,1066167,0,-0.757905656
321,3,1,-0.3185453116694984,-0.2266031053364766,5.9,63722,-0.174303227615999,9,-0.7220885189638041,1,2013,242,9.385769,30000000,0,-0.249135967
322,4,0,-0.6264542816982394,0.182150034728235,6.1,38378,-0.8515840595128972,10,-0.4516668506469194,4,2013,362,10.990614,8500000,0,-0.974183765
323,3,1,0.2938101103774801,-0.2847764598914525,6.6,114125,-0.2373060956994314,10,0.2243873201452946,4,2013,86,9.157369,28000000,1,1.282648821
324,2,0,-0.8126405571752933,0.8096161401602985,7.4,23053,-0.7759806178127783,10,1.3060739934128385,3,2013,332,13.454169,10900000,0,-0.015905505
325,3,0,-0.0884640271680663,-0.8528038638971341,7.6,82660,-0.7413290403668905,10,1.576495661729723,3,2013,451,6.927182,12000000,1,2.142309917
326,4,1,-0.4213274252444333,-0.3593427804966355,5.6,55262,-0.174303227615999,10,-1.1277210214391336,5,2013,51,8.864607,30000000,0,-0.3561118
327,3,1,-0.3088016644960826,0.6301755378060211,6.9,64524,-0.8358333424920391,10,0.6300198226206241,0,2013,168,12.74965,9000000,0,-0.304036667
328,4,1,0.0966045231968251,0.2254705908117856,7.7,97893,-0.7413290403668905,10,1.7117064958881665,1,2013,42,11.160699,12000000,1,0.471242667
329,2,1,0.0067977402717756,0.4171843956001288,6.7,90501,2.030797155304134,10,0.3595981543037382,2,2013,184,11.913405,100000000,1,0.07518682
330,3,1,-0.3020345678930993,0.8337206414813505,6.4,65081,-0.3003089637828637,14,-0.04603434817159,4,2013,269,13.548808,26000000,1,0.179388692
331,4,1,-0.7026661254873133,-0.8135236052010857,5.8,32105,-1.0720940978049105,10,-0.8572993531222477,4,2013,287,7.081404,1500000,1,1.298226
332,2,1,-0.2226517865575646,1.053590706453533,6.4,71615,1.3377656063863783,1,-0.04603434817159,2,2013,130,14.412061,78000000,1,0.535814962
