,budget_norm,year,budget,genre,popularity_norm,votes_norm,country,popularity,votes,isprofit,profitability_ratio
1257,0.011394465944085,2003,30000000,10,2.789265325461115,2.227389609625232,1,17.955897,192146,1,0.7386512
1258,0.011394465944085,2003,30000000,0,1.6868303396616209,0.6166518593494976,1,14.015739,95076,1,1.7540885
1259,-0.2454520434273624,2003,24000000,4,2.296825965843539,2.256245826249622,1,16.195894,193885,1,2.149378875
1260,1.9805510377918487,2003,76000000,0,-1.5842817854727511,2.5453721738421264,1,2.32462,211309,1,0.673090803
1261,2.066166540915665,2003,78000000,0,0.7000020115577263,1.506664530347636,1,10.488765,148712,0,-0.147882
1262,-0.973183819979797,2003,7000000,9,0.845597335751719,0.1111453709967626,1,11.00913,64612,1,0.804994571
1263,2.7938983174681,2003,95000000,0,1.4239940774330029,0.8670488167169731,1,13.076349,110166,0,-0.308840042
1264,-0.3310675465511782,2003,22000000,6,2.391028055791184,-0.0082121713719749,1,16.532577,57419,1,1.651420636
1265,2.3658208018490203,2003,85000000,0,0.0889501607088289,0.4879687311596519,1,8.304835,87321,0,-0.438513624
1266,0.8675494971822433,2003,50000000,4,-0.7830935462747203,1.8943898653939204,1,5.188107,172078,1,1.11626746
1267,1.0815882549917828,2003,55000000,4,1.793544005353181,1.8860764872864912,1,14.397139,171577,1,0.901183891
1268,-0.1598365403035466,2003,26000000,9,1.3015067105955915,1.1823100356052874,1,12.638573,129165,1,0.806200538
1269,-0.4166830496749941,2003,20000000,5,-0.4517688786930718,2.3648009551494247,1,6.372278,200427,0,-0.18756495
1270,0.8675494971822433,2003,50000000,5,0.5437537872390864,0.6102965223931197,1,9.930326,94693,0,-0.6081252
1271,-0.6307218074845337,2003,15000000,6,0.3520438339821146,0.0143384890032668,1,9.245145,58778,0,-0.132967667
1272,-0.5451063043607178,2003,17000000,1,-0.3514404058823374,-0.4610672650443256,1,6.730857,30128,1,1.510154706
1273,-0.0314132856178228,2003,29000000,0,0.2396279540619385,1.31690047438644,1,8.843365,137276,1,0.94344069
1274,1.2956270128013223,2003,60000000,0,1.0290673376331887,0.3873619218475907,1,11.664861,81258,0,-0.4802184
1275,0.7819339940584275,2003,48000000,4,0.8828321231575056,1.010184943572629,1,11.142209,118792,1,1.291733688
1276,1.509665770610862,2003,65000000,6,0.7107533993864201,0.1315388673920328,1,10.527191,65841,0,-0.017523969
1277,-0.8447605652940733,2003,10000000,6,-0.9097649617664352,-0.7593532627671711,1,4.735377,12152,0,-0.9634266
1278,1.9377432862299413,2003,75000000,4,0.3979956225798796,2.031900772332573,1,9.409379,180365,1,0.808610973
1279,0.2254332237536246,2003,35000000,4,0.39327520765098,-0.3811194492327618,1,9.392508,34946,0,-0.420051229
1280,0.011394465944085,2003,30000000,6,0.1179352039276318,-0.5196425638850936,0,8.408429,26598,0,-0.820625767
1281,-0.50229855279881,2003,18000000,4,0.1457968717721518,-0.3116255819395221,1,8.508008,39134,1,1.422817944
1282,1.7237045284204018,2003,70000000,0,0.7353182472968977,0.6887011362805499,1,10.614987,99418,0,-0.375216057
1283,-0.4166830496749941,2003,20000000,4,-0.3480006109006593,-0.1106276797133969,1,6.743151,51247,1,0.79952525
1284,1.2956270128013223,2003,60000000,1,0.2765815478808873,-0.4782747961768684,1,8.975439,29091,0,-0.551661067
1285,2.151782044039481,2003,80000000,4,0.1505083332734106,0.6419902393296258,1,8.524847,96603,1,0.559109225
1286,0.4394719815631641,2003,40000000,9,0.825993805932596,0.604936799581344,1,10.939066,94370,1,0.4923645
1287,2.151782044039481,2003,80000000,0,1.496349803937551,1.1182588589692068,1,13.334952,125305,1,0.461683125
