budget,company,director,gross,name,released,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
10000000,Paramount Pictures,Michelle Manning,6947787,Blue City,2.05.1986 00:00,4.4,Judd Nelson,792,Ross Macdonald,1986,0,-0.3052213,-30
2000000,American Playhouse,Jerrold Freedman,1301121,Native Son,12.12.1986 00:00,5.9,Victor Love,448,Richard Wesley,1986,0,-0.3494395,-30
18000000,J&M; Entertainment,Zoran Perisic,2295500,Sky Bandits,31.10.1986 00:00,4.6,Scott McGinnis,183,Thom Keyes,1986,0,-0.872472222,-90
1500000,Cinetel Films,Fred Olen Ray,1368912,Armed Response,3.10.1986 00:00,4.9,David Carradine,489,T.L. Lankford,1986,0,-0.087392,-10
16000000,Act III Communications,Rob Reiner,30857814,The Princess Bride,9.10.1987 00:00,8.1,Cary Elwes,320953,William Goldman,1987,1,0.928613375,90
1000000,Cinemarque Entertainment BV,Clive Barker,14564027,Hellraiser,18.09.1987 00:00,7,Andrew Robinson,83209,Clive Barker,1987,1,13.564027,1360
30000000,Natant,Stanley Kubrick,46357676,Full Metal Jacket,10.07.1987 00:00,8.3,Matthew Modine,537826,Gustav Hasford,1987,1,0.545255867,50
6000000,Great American Films Limited Partnership,Emile Ardolino,63952836,Dirty Dancing,21.08.1987 00:00,6.9,Patrick Swayze,155978,Eleanor Bergstein,1987,1,9.658806,969
15000000,Amercent Films,John McTiernan,59735548,Predator,12.06.1987 00:00,7.8,Arnold Schwarzenegger,313213,Jim Thomas,1987,1,2.982369867,300
27000000,Braveworld Productions,Paul Michael Glaser,38122105,The Running Man,13.11.1987 00:00,6.6,Arnold Schwarzenegger,120345,Stephen King,1987,1,0.411929815,40
22700000,Brooksfilms,Mel Brooks,38119483,Spaceballs,24.06.1987 00:00,7.1,Mel Brooks,146748,Mel Brooks,1987,1,0.679272379,70
13000000,Orion Pictures,Paul Verhoeven,53424681,RoboCop,17.07.1987 00:00,7.5,Peter Weller,196245,Edward Neumeier,1987,1,3.109590846,310
15000000,Warner Bros.,Richard Donner,65207127,Lethal Weapon,6.03.1987 00:00,7.6,Mel Gibson,204328,Shane Black,1987,1,3.3471418,330
25000000,Paramount Pictures,Brian De Palma,76270454,The Untouchables,3.06.1987 00:00,7.9,Kevin Costner,234254,Oscar Fraley,1987,1,2.05081816,210
3600000,De Laurentiis Entertainment Group (DEG),Sam Raimi,5923044,Evil Dead II,13.03.1987 00:00,7.8,Bruce Campbell,123325,Sam Raimi,1987,1,0.64529,60
22000000,Golan-Globus Productions,Gary Goddard,17336370,Masters of the Universe,7.08.1987 00:00,5.4,Dolph Lundgren,30370,David Odell,1987,0,-0.211983182,-20
12000000,Home Box Office (HBO),Fred Dekker,3769990,The Monster Squad,14.08.1987 00:00,7.2,Andre Gower,21420,Shane Black,1987,0,-0.685834167,-70
14000000,Paramount Pictures,Adrian Lyne,156645693,Fatal Attraction,18.09.1987 00:00,6.9,Michael Douglas,60383,James Dearden,1987,1,10.18897807,1019
30000000,Eon Productions,John Glen,51185897,The Living Daylights,31.07.1987 00:00,6.7,Timothy Dalton,74272,Richard Maibaum,1987,1,0.706196567,70
15000000,Twentieth Century Fox Film Corporation,Oliver Stone,43848100,Wall Street,11.12.1987 00:00,7.4,Charlie Sheen,126195,Stanley Weiser,1987,1,1.923206667,190
35000000,Amblin Entertainment,Steven Spielberg,22238696,Empire of the Sun,25.12.1987 00:00,7.8,Christian Bale,96566,Tom Stoppard,1987,0,-0.364608686,-40
22000000,Warner Bros.,George Miller,63766510,The Witches of Eastwick,12.06.1987 00:00,6.5,Jack Nicholson,51642,John Updike,1987,1,1.898477727,190
4500000,New Line Cinema,Chuck Russell,44793222,A Nightmare on Elm Street 3: Dream Warriors,27.02.1987 00:00,6.6,Heather Langenkamp,55414,Wes Craven,1987,1,8.954049333,900
23000000,Universal Pictures,Joseph Sargent,20763013,Jaws: The Revenge,17.07.1987 00:00,2.9,Lorraine Gary,33419,Peter Benchley,1987,0,-0.097260304,-10
25000000,Cannon Group,Menahem Golan,16057580,Over the Top,13.02.1987 00:00,5.7,Sylvester Stallone,40916,Gary Conway,1987,0,-0.3576968,-40
30000000,Paramount Pictures,John Hughes,49530280,"Planes, Trains & Automobiles",25.11.1987 00:00,7.6,Steve Martin,98897,John Hughes,1987,1,0.651009333,70
6000000,Circle Films,Joel Coen,22847564,Raising Arizona,17.04.1987 00:00,7.4,Nicolas Cage,107669,Ethan Coen,1987,1,2.807927333,280
17000000,Carolco International N.V.,Alan Parker,17185632,Angel Heart,6.03.1987 00:00,7.3,Mickey Rourke,67453,William Hjortsberg,1987,1,0.010919529,0
6000000,Gladden Entertainment,Michael Gottlieb,42721196,Mannequin,13.02.1987 00:00,5.8,Andrew McCarthy,24626,Edward Rugoff,1987,1,6.120199333,610
27000000,Warner Bros.,Joe Dante,25893810,Innerspace,1.07.1987 00:00,6.8,Dennis Quaid,45172,Chip Proser,1987,0,-0.04097,0
15000000,Metro-Goldwyn-Mayer (MGM),Norman Jewison,80640528,Moonstruck,15.01.1988 00:00,7.1,Cher,38600,John Patrick Shanley,1987,1,4.3760352,440
28000000,Paramount Pictures,Tony Scott,153665000,Beverly Hills Cop II,20.05.1987 00:00,6.5,Eddie Murphy,90969,Danilo Bach,1987,1,4.488035714,450
23000000,Recorded Picture Company (RPC),Bernardo Bertolucci,43984230,The Last Emperor,15.04.1988 00:00,7.8,John Lone,76408,Mark Peploe,1987,1,0.912357826,90
13000000,Touchstone Pictures,Barry Levinson,123922370,"Good Morning, Vietnam",15.01.1988 00:00,7.3,Robin Williams,106924,Mitch Markowitz,1987,1,8.53249,850
2600000,Merchant Ivory Productions,James Ivory,3130592,Maurice,18.09.1987 00:00,7.7,James Wilby,11837,E.M. Forster,1987,1,0.204073846,20
11000000,Interscope Communications,Leonard Nimoy,167780960,3 Men and a Baby,25.11.1987 00:00,5.9,Tom Selleck,39544,Coline Serreau,1987,1,14.25281455,1430
3000000,Alive Films,John Carpenter,14182492,Prince of Darkness,23.10.1987 00:00,6.7,Donald Pleasence,28064,John Carpenter,1987,1,3.727497333,370
