,budget,score_norm,rating,budget_norm,votes_norm,genre,score,runtime,runtime_norm,votes,year,country,isprofit,profitability_ratio
176,5000000,0.0471589982023116,4,-1.0343024852402314,-0.9056909662333616,4,6.3,98,-0.5131607456152353,3203,1989,0,1,0.391595
177,19000000,2.055085542942194,5,-0.4423067949107471,-0.1547868987101358,4,8.0,104,-0.0867496844415986,46269,1989,1,0,-0.039226211
178,2800000,1.582632238297515,6,-1.1273303794348646,-0.608614304772796,4,7.6,110,0.339661376732038,20241,1989,1,0,-0.868614643
179,8000000,-1.2520875895705528,6,-0.9074462658839132,-0.8272632855637041,0,5.2,105,-0.0156811742459925,7701,1989,1,1,0.017903125
180,5000000,-1.0158609372482137,6,-1.0343024852402314,-0.7491494551057083,4,5.4,109,0.2685928665364319,12181,1989,1,1,2.3109398
181,15000000,-0.1890676541200276,5,-0.6114484207191712,-0.8011439735043118,0,6.1,96,-0.6552977660064474,9199,1989,1,1,1.706
182,10000000,0.0471589982023116,6,-0.8228754529797013,-0.7596983094421117,0,6.3,86,-1.3659828679625086,11576,1989,1,0,-0.7307963
183,15000000,0.1652723243634818,4,-0.6114484207191712,-0.7060647954937199,4,6.4,124,1.3346205194705234,14652,1989,1,0,-0.2824354
184,10000000,-1.1339742634093837,4,-0.8228754529797013,-0.8801993545972925,0,5.3,85,-1.437051378158115,4665,1989,1,0,-0.8727023
185,4000000,-2.07888087269874,5,-1.0765878916923377,-0.9082889485410048,12,4.5,84,-1.5081198883537206,3054,1989,1,0,-0.951796
186,16000000,0.1652723243634818,4,-0.5691630142670652,-0.8027829690541001,4,6.4,108,0.1975243563408258,9105,1989,1,1,0.017411875
187,20000000,-0.1890676541200276,6,-0.4000213884586411,-0.8310643603493835,5,6.1,94,-0.7974347863976596,7483,1989,1,0,-0.6381103
188,17000000,-0.3071809802811967,5,-0.5268776078149592,-0.4853583522041412,0,6.0,101,-0.2999552150284169,27310,1989,1,1,1.543979235
189,19000000,-1.1339742634093837,5,-0.4423067949107471,-0.7993654889715628,0,5.3,122,1.1924834990793112,9301,1989,1,0,-0.360869263
190,8000000,-2.315107525021079,5,-0.9074462658839132,-0.8749510816133959,0,4.3,93,-0.8685032965932658,4966,1989,1,1,1.011706375
191,12000000,-2.433220851182248,4,-0.7383046400754892,-0.5485991698539517,4,4.2,84,-1.5081198883537206,23683,1989,1,0,-0.03606525
192,13000000,0.0471589982023116,5,-0.6960192336233832,-0.8976006052216406,4,6.3,109,0.2685928665364319,3667,1989,1,1,0.694615385
193,5000000,-0.6615209587647051,6,-1.0343024852402314,-0.883268112222428,3,5.7,106,0.0553873359496136,4489,1989,1,0,-0.6160694
194,18000000,0.7558389551693294,5,-0.4845922013628531,-0.8851337773695275,4,6.9,90,-1.081708827180084,4382,1989,1,0,-0.723706389
195,18000000,-0.4252943064423658,6,-0.4845922013628531,-0.919953714741094,6,5.9,120,1.0503464786880992,2385,1989,1,0,-0.803779389
196,3000000,1.4645189121363462,6,-1.1188732981444434,-0.8820301474986517,6,7.5,96,-0.6552977660064474,4560,1989,1,1,0.536651
197,4000000,0.0471589982023116,6,-1.0765878916923377,-0.8991872924028187,0,6.3,94,-0.7974347863976596,3576,1989,1,0,-0.9290765
198,2300000,-1.3702009157317228,6,-1.1484730826609175,-0.873190033203517,0,5.1,102,-0.2288867048328108,5067,1989,1,0,-0.655232174
199,2500000,-2.551334177343418,5,-1.1400160013704963,-0.9376513794542336,4,4.1,90,-1.081708827180084,1370,1989,1,0,-0.9825004
200,34000000,-0.543407632603536,6,0.1919743018708432,-0.9344082606003972,1,5.8,100,-0.371023725224023,1556,1989,1,0,-0.894874824
201,20000000,0.0471589982023116,5,-0.4000213884586411,-0.9217496353967132,0,6.3,117,0.8371409481012807,2282,1989,1,0,-0.87895415
202,16000000,-1.9607675465375705,4,-0.5691630142670652,-0.9466135466094592,1,4.6,93,-0.8685032965932658,856,1989,1,0,-0.995757625
203,17000000,-1.3702009157317228,6,-0.5268776078149592,-0.9399529476730852,5,5.1,99,-0.4420922354196291,1238,1989,1,0,-0.790533412
204,26000000,0.40149897668582,6,-0.1463089497460049,0.2109009062442276,6,6.6,115,0.6950039277100686,67242,1990,1,1,1.365
205,20000000,1.8188588906198544,6,-0.4000213884586411,1.6064184362746206,5,7.8,107,0.1264558461452197,147278,1990,1,1,2.0638436
206,30000000,1.582632238297515,4,0.0228326760624191,1.6977662839910137,0,7.6,135,2.1163741316221905,152517,1990,1,1,3.0670881
207,13000000,-0.543407632603536,6,-0.6960192336233832,-0.3581095274982363,9,5.8,84,-1.5081198883537206,34608,1990,1,1,1.192431154
208,11000000,0.9920656074916676,5,-0.7805900465275953,0.7510371205138252,4,7.1,96,-0.6552977660064474,98220,1990,1,1,0.515189455
209,25000000,-0.6615209587647051,4,-0.188594356198111,-0.4427793401553854,4,5.7,102,-0.2288867048328108,29752,1990,1,1,0.57617044
210,9500000,1.1101789336528378,6,-0.8440181562057544,0.2137778665177922,4,7.2,125,1.4056890296661295,67407,1990,1,1,0.532657579
211,25000000,1.4645189121363462,6,-0.188594356198111,0.46785704898072,6,7.5,113,0.5528669073188563,81979,1990,1,1,0.04475404
212,31000000,0.1652723243634818,5,0.0651180825145251,-0.0276775629871915,4,6.4,103,-0.1578181946372047,53559,1990,1,1,0.716392903
213,47000000,-0.1890676541200276,4,0.7416845857482215,-0.0841880372091479,0,6.1,105,-0.0156811742459925,50318,1990,1,1,1.207206936
214,60000000,-0.4252943064423658,5,1.2913948696255997,0.1763773829614526,0,5.9,107,0.1264558461452197,65262,1990,1,1,0.37784555
215,11000000,0.2833856505246509,5,-0.7805900465275953,-0.1420236567692311,4,6.5,85,-1.437051378158115,47001,1990,1,0,-0.248514273
216,42000000,-1.2520875895705528,5,0.5302575534876913,0.8234842110390425,6,5.2,104,-0.0867496844415986,102375,1990,1,0,-0.025086714
217,26000000,-0.1890676541200276,5,-0.1463089497460049,1.0490030242407655,4,6.1,111,0.4107298869276441,115309,1990,1,1,2.517603385
218,35000000,-0.0709543279588574,6,0.2342597083229492,1.079899833966562,0,6.2,108,0.1975243563408258,117081,1990,1,0,-0.123731057
219,35000000,-0.543407632603536,6,0.2342597083229492,0.2373863768838919,0,5.8,117,0.8371409481012807,68761,1990,1,1,0.305176371
220,14000000,1.8188588906198544,6,-0.6537338271712773,0.9629034495082692,5,7.8,115,0.6950039277100686,110371,1990,1,0,-0.637113643
221,40000000,0.0471589982023116,6,0.4456867405834793,-0.6966667252667422,0,6.3,104,-0.0867496844415986,15191,1990,1,0,-0.46466245
222,16000000,0.1652723243634818,6,-0.5691630142670652,-0.0797766981230156,0,6.4,96,-0.6552977660064474,50571,1990,1,1,1.117406375
223,22000000,0.7558389551693294,6,-0.315450575554429,-0.4120917639040299,10,6.9,127,1.5478260500573418,31512,1990,1,1,2.922872182
224,50000000,0.0471589982023116,5,0.8685408051045396,0.3508955367681672,4,6.3,106,0.0553873359496136,75271,1990,1,0,-0.17035586
225,11000000,0.2833856505246509,6,-0.7805900465275953,-0.687931227708828,0,6.5,102,-0.2288867048328108,15692,1990,1,0,-0.194331455
226,31000000,0.40149897668582,5,0.0651180825145251,-0.5471694077786046,4,6.6,110,0.339661376732038,23765,1990,1,1,0.142561194
227,30000000,0.7558389551693294,0,0.0228326760624191,-0.4359966883589211,2,6.9,100,-0.371023725224023,30141,1990,1,0,-0.0689513
228,20000000,0.2833856505246509,5,-0.4000213884586411,-0.5137792324823853,0,6.5,104,-0.0867496844415986,25680,1990,1,1,1.2071705
229,5200000,-0.543407632603536,6,-1.0258454039498102,-0.8722833548142723,0,5.8,99,-0.4420922354196291,5119,1990,1,0,-0.526943269
230,12000000,-0.4252943064423658,6,-0.7383046400754892,-0.6765105672289201,0,5.9,93,-0.8685032965932658,16347,1990,1,1,2.837033333
231,35000000,-0.6615209587647051,6,0.2342597083229492,-0.5548238657185733,0,5.7,113,0.5528669073188563,23326,1990,1,0,-0.112754257
232,20000000,0.6377256290081593,5,-0.4000213884586411,-0.6793352191338744,0,6.8,119,0.9792779684924928,16185,1990,0,1,0.07065525
233,18000000,0.1652723243634818,6,-0.4845922013628531,-0.6977477648846877,13,6.4,102,-0.2288867048328108,15129,1990,1,1,0.632330889
234,47000000,-0.8977476110870444,6,0.7416845857482215,-0.6322402512617658,4,5.5,125,1.4056890296661295,18886,1990,1,0,-0.666144851
235,25000000,-1.0158609372482137,4,-0.188594356198111,-0.9041042790521836,4,5.4,95,-0.7263662762020535,3294,1990,1,0,-0.72240216
236,1500000,-0.4252943064423658,6,-1.1823014078226024,-0.7776575159983027,12,5.9,94,-0.7974347863976596,10546,1990,0,1,2.819302
237,23000000,0.7558389551693294,5,-0.273165169102323,-0.5446586060853118,0,6.9,107,0.1264558461452197,23909,1990,0,1,0.193129435
238,7000000,-0.3071809802811967,6,-0.9497316723360194,-0.8183185545313488,0,6.0,91,-1.010640316984478,8214,1990,1,0,-0.378804571
239,18000000,-1.0158609372482137,6,-0.4845922013628531,-0.8621180951810108,0,5.4,105,-0.0156811742459925,5702,1990,1,0,-0.847616
240,38000000,-0.543407632603536,6,0.3611159276792673,-0.4025716408169617,0,5.8,93,-0.8685032965932658,32058,1990,1,1,1.126815105
241,22000000,0.5196123028469902,6,-0.315450575554429,-0.7377985391172807,4,6.7,101,-0.2999552150284169,12832,1990,1,1,0.725603682
242,15000000,0.6377256290081593,6,-0.6114484207191712,-0.6673914749678639,4,6.8,89,-1.1527773373756902,16870,1990,1,1,0.0173436
243,19000000,-0.1890676541200276,6,-0.4423067949107471,-0.8026783523168796,5,6.1,137,2.2585111520134027,9111,1990,1,0,-0.473370053
244,4000000,-0.7796342849258753,6,-1.0765878916923377,-0.7212167862678267,0,5.6,89,-1.1527773373756902,13783,1990,0,1,3.21337175
245,2500000,-0.1890676541200276,6,-1.1400160013704963,-0.841630650808657,4,6.1,85,-1.437051378158115,6877,1990,1,0,-0.9179728
246,20000000,0.0471589982023116,5,-0.4000213884586411,-0.7870730223481505,4,6.3,110,0.339661376732038,10006,1990,1,0,-0.23103735
247,10000000,0.40149897668582,6,-0.8228754529797013,-0.805154281764432,6,6.6,129,1.689963070448554,8969,1990,1,1,0.61536
248,23000000,0.0471589982023116,5,-0.273165169102323,-0.8590667736787454,6,6.3,104,-0.0867496844415986,5877,1990,1,0,-0.74695587
249,22000000,-1.8426542203764005,5,-0.315450575554429,-0.8737305530124897,0,4.7,85,-1.437051378158115,5036,1990,1,0,-0.329070409
250,7000000,-0.0709543279588574,6,-0.9497316723360194,-0.855841090947779,6,6.2,99,-0.4420922354196291,6062,1990,1,1,0.803720429
251,25000000,0.6377256290081593,6,-0.188594356198111,-0.797831110158995,1,6.8,138,2.329579662209009,9389,1990,0,0,-0.91699664
252,40000000,-0.1890676541200276,6,0.4456867405834793,-0.8565559719854526,6,6.1,144,2.755990723382645,6021,1990,1,0,-0.7689215
253,24000000,0.5196123028469902,4,-0.230879762650217,-0.7997490836747047,1,6.7,112,0.4817983971232502,9279,1990,1,0,-0.903369833
254,2000000,-0.1890676541200276,6,-1.1611587045965497,-0.912857212732968,9,6.1,85,-1.437051378158115,2792,1990,1,0,-0.1860225
255,10000000,-0.6615209587647051,6,-0.8228754529797013,-0.9118982259751132,5,5.7,98,-0.5131607456152353,2847,1990,1,1,1.2424195
256,350000,-2.1969941988599087,6,-1.2309296252425244,-0.9304851329546272,4,4.4,87,-1.2949143577669024,1781,1990,1,1,2.551414286
257,30000000,0.6377256290081593,5,0.0228326760624191,0.8576415757415455,4,6.8,99,-0.4420922354196291,104334,1991,1,1,2.7834
258,70000000,0.5196123028469902,4,1.71424893414666,2.4648859457834216,1,6.7,142,2.6138537029914333,196513,1991,1,1,0.709354614
259,16500000,1.3464055859751771,6,-0.5480203110410121,0.9529648594723188,1,7.4,130,1.76103158064416,109801,1991,1,1,1.749151515
260,13000000,-1.488314241892892,6,-0.6960192336233832,-0.48117368271532,0,5.0,90,-1.081708827180084,27550,1991,0,1,0.150788846
261,11000000,-1.3702009157317228,5,-0.7805900465275953,-0.695428760542966,1,5.1,102,-0.2288867048328108,15262,1991,1,0,-0.744740545
262,30000000,1.1101789336528378,4,0.0228326760624191,0.0770786632162993,0,7.2,113,0.5528669073188563,59567,1991,1,1,1.496299867
263,9000000,1.7007455644586855,6,-0.8651608594318073,0.7138807426776669,4,7.7,116,0.7660724379056746,96089,1991,1,0,-0.316229
264,35000000,0.1652723243634818,4,0.2342597083229492,-0.166085506329953,0,6.4,108,0.1975243563408258,45621,1991,1,1,0.3344016
265,16000000,0.9920656074916676,6,-0.5691630142670652,-0.2790367102823855,6,7.1,115,0.6950039277100686,39143,1991,0,0,-0.841153688
266,26000000,0.5196123028469902,5,-0.1463089497460049,0.5215428712977221,0,6.7,84,-1.5081198883537206,85058,1991,1,1,1.671831423
267,35000000,0.8739522813304985,4,0.2342597083229492,-0.023632382481331,4,7.0,99,-0.4420922354196291,53791,1991,1,1,0.820285714
268,2500000,0.9920656074916676,6,-1.1400160013704963,-0.2623329045728408,6,7.1,104,-0.0867496844415986,40101,1991,1,1,1.5605344
269,38000000,1.1101789336528378,6,0.3611159276792673,0.3024231151893215,3,7.2,140,2.471716682600221,72491,1991,1,0,-0.074110737
270,24000000,1.582632238297515,6,-0.230879762650217,0.2208743685259181,4,7.6,137,2.2585111520134027,67814,1991,1,1,0.745645458
271,29000000,0.7558389551693294,6,-0.0194527303896869,0.4387038515419322,0,6.9,105,-0.0156811742459925,80307,1991,1,1,1.052066379
272,75000000,0.5196123028469902,6,1.92567596640719,0.1144617106497688,0,6.7,137,2.2585111520134027,61711,1991,1,1,0.0382478
273,6000000,0.0471589982023116,6,-0.9920170787881254,-0.5126981928644399,4,6.3,102,-0.2288867048328108,25742,1991,1,1,3.034025667
274,25000000,-0.3071809802811967,4,-0.188594356198111,-0.1786395147964166,0,6.0,88,-1.2238458475712963,44901,1991,1,1,2.14627252
275,11000000,-1.6064275680540612,6,-0.7805900465275953,-0.375998989562947,4,4.9,89,-1.1527773373756902,33582,1991,1,1,2.170184818
276,65000000,-0.543407632603536,6,1.50282190188613,-0.1657193477496812,0,5.8,100,-0.371023725224023,45642,1991,1,0,-0.735106462
277,20000000,-0.0709543279588574,4,-0.4000213884586411,-0.0399874657334739,1,6.2,93,-0.8685032965932658,52853,1991,1,1,0.90187565
278,15000000,-0.8977476110870444,6,-0.6114484207191712,-0.4110107242860844,0,5.5,110,0.339661376732038,31574,1991,1,1,1.0068478
279,3500000,1.8188588906198544,6,-1.0977305949183904,-0.1823534089677455,4,7.8,129,1.689963070448554,44688,1991,0,0,-0.424054286
280,13500000,-0.1890676541200276,5,-0.6748765303973302,-0.8089727926729815,4,6.1,108,0.1975243563408258,8750,1991,1,1,0.944858815
281,30000000,0.6377256290081593,6,0.0228326760624191,-0.574300014964462,3,6.8,136,2.187442641817797,22209,1991,1,1,0.637133867
282,30000000,0.5196123028469902,6,0.0228326760624191,-0.7280517464329013,6,6.7,132,1.9031686010353723,13391,1991,1,1,1.492919967
283,23000000,0.6377256290081593,5,-0.273165169102323,0.592751997099163,4,6.8,85,-1.437051378158115,89142,1991,1,1,2.779583087
284,14000000,-0.3071809802811967,6,-0.6537338271712773,-0.6448291319739695,0,6.0,91,-1.010640316984478,18164,1991,1,1,1.833797214
285,14000000,0.2833856505246509,6,-0.6537338271712773,-0.7120802578839004,6,6.5,132,1.9031686010353723,14307,1991,1,1,1.320191571
286,50000000,0.5196123028469902,5,0.8685408051045396,-0.526141443597278,6,6.7,108,0.1975243563408258,24971,1991,1,0,-0.13997
287,8000000,-0.1890676541200276,6,-0.9074462658839132,-0.7267614733405148,0,6.1,79,-1.8634624393317512,13465,1991,1,0,-0.715555375
288,15000000,0.8739522813304985,6,-0.6114484207191712,-0.5642916804370313,5,7.0,107,0.1264558461452197,22783,1991,1,1,1.534425333
289,30000000,-2.551334177343418,6,0.0228326760624191,-0.2892542782842573,0,4.1,91,-1.010640316984478,38557,1991,0,0,-0.481455333
290,25000000,-0.6615209587647051,4,-0.188594356198111,-0.6522394841937571,4,5.7,101,-0.2999552150284169,17739,1991,1,1,0.34765252
291,23000000,-0.3071809802811967,6,-0.273165169102323,-0.690110743067589,0,6.0,98,-0.5131607456152353,15567,1991,1,0,-0.676751043
292,23000000,-0.4252943064423658,6,-0.273165169102323,-0.8354931355583859,5,5.9,104,-0.0867496844415986,7229,1991,1,0,-0.119704783
293,17000000,-0.4252943064423658,6,-0.5268776078149592,-0.8647509497343941,0,5.9,88,-1.2238458475712963,5551,1991,1,0,-0.453746235
294,17000000,-0.4252943064423658,6,-0.5268776078149592,-0.8647509497343941,0,5.9,88,-1.2238458475712963,5551,1991,1,0,-0.453746235
295,17000000,-1.1339742634093837,6,-0.5268776078149592,-0.9099453802136632,4,5.3,100,-0.371023725224023,2959,1991,1,0,-0.831416706
296,10000000,0.5196123028469902,4,-0.8228754529797013,-0.7493063802115391,6,6.7,99,-0.4420922354196291,12172,1991,1,1,1.5010896
297,1400000,-0.7796342849258753,6,-1.1865299484678131,-0.892526693466445,4,5.6,87,-1.2949143577669024,3958,1991,1,0,-0.917783571
298,8000000,-0.6615209587647051,6,-0.9074462658839132,-0.8353187743296849,10,5.7,102,-0.2288867048328108,7239,1991,1,1,1.377290125
299,10000000,-0.8977476110870444,6,-0.8228754529797013,-0.904174023543664,9,5.5,88,-1.2238458475712963,3290,1991,1,0,-0.081185
300,22000000,0.2833856505246509,6,-0.315450575554429,-0.8428511794095631,5,6.5,98,-0.5131607456152353,6807,1991,1,0,-0.476771318
301,13000000,-0.543407632603536,5,-0.6960192336233832,-0.8224160434058195,4,5.8,92,-0.939571806788872,7979,1991,1,0,-0.684421077
302,7000000,0.9920656074916676,6,-0.9497316723360194,-0.8353187743296849,6,7.1,127,1.5478260500573418,7239,1991,1,0,-0.972696429
303,11000000,0.7558389551693294,5,-0.7805900465275953,-0.8161041669268476,6,6.9,98,-0.5131607456152353,8341,1991,0,0,-0.903720818
304,17000000,0.1652723243634818,5,-0.5268776078149592,-0.7863407051876068,4,6.4,107,0.1264558461452197,10048,1991,1,0,-0.729180647
305,48000000,-0.4252943064423658,6,0.7839699922003275,-0.7856955686414134,5,5.9,106,0.0553873359496136,10085,1991,1,0,-0.667376688
306,3000000,0.6377256290081593,6,-1.1188732981444434,-0.9175649659078918,5,6.8,105,-0.0156811742459925,2522,1991,1,0,-0.869949333
307,8000000,-0.4252943064423658,6,-0.9074462658839132,-0.933972357528645,4,5.9,100,-0.371023725224023,1581,1991,0,1,0.304813
308,7500000,0.5196123028469902,6,-0.9285889691099664,-0.8897892221758411,6,6.7,112,0.4817983971232502,4115,1991,1,0,-0.164450533
309,18000000,-0.6615209587647051,5,-0.4845922013628531,-0.9267363665375584,0,5.7,98,-0.5131607456152353,1996,1991,1,0,-0.9165675
