,votes,runtime_norm,score,rating,country,runtime,year,votes_norm,genre,score_norm,budget_norm,budget,popularity,popularity_norm,isprofit,profitability_ratio
57,74272,1.7500190062360497,6.7,3,0,130,1987,0.2074247158091287,0,0.5083354447207826,-0.02107735993104,30000000,12.189038,1.123846091110562,1,0.706196567
58,126195,1.4657077872078492,7.4,5,1,126,1987,1.0353278940706387,5,1.3408026109726487,-0.6605585510077658,15000000,11.672701,0.9785226891056052,1,1.923206667
59,51642,0.8970853491514487,6.5,5,1,118,1987,-0.1534066869229548,4,0.270487682934535,-0.3621339951719605,22000000,13.031671,1.3610057256160166,1,1.898477727
60,40916,-0.8798597697748034,5.7,3,1,93,1987,-0.3244308860261068,0,-0.6809033642104544,-0.2342377569566153,25000000,8.431956,0.066412791053452,0,-0.3576968
61,107669,-0.8087819650177533,7.4,4,1,94,1987,0.7399340554928845,4,1.3408026109726487,-1.044247265653801,6000000,14.011415,1.636755344903313,1,2.807927333
62,67453,0.5416963253661982,7.3,5,0,113,1987,0.0986969502222936,9,1.2218787300795244,-0.5752943921975358,17000000,7.290872,-0.2547460816467888,1,0.010919529
63,45172,1.0392409586655489,6.8,3,1,120,1987,-0.2565697083845801,0,0.627259325613906,-0.1489735981463852,27000000,10.134408,0.5455690715255919,0,-0.04097
64,22802,1.9632524205072,7.2,5,1,133,1987,-0.6132554564675103,4,1.1029548491864012,-0.4473981539821905,20000000,8.627019,0.1213134058947148,1,1.5624702
65,17500,-0.9509375745318536,6.0,5,1,92,1987,-0.6977949216590926,4,-0.3241317215310835,-1.150827464166589,3500000,9.330087,0.3191923756389345,1,3.0
66,27387,0.0441516920668476,5.9,4,1,106,1987,-0.5401484312122472,4,-0.4430556024242068,-0.4473981539821905,20000000,7.907938,-0.0810724336579932,1,1.8693758
67,28550,-1.2352487935600538,6.2,4,1,88,1987,-0.5216045990700725,4,-0.0862839597448358,-0.7031906304128809,14000000,6.573364,-0.4566891992730151,1,3.136855143
68,15647,-0.3823151364754528,7.3,5,1,100,1987,-0.7273406834470975,4,1.2218787300795244,-1.1721435038691463,3000000,15.170192,1.9628939245617496,1,0.073856
69,8970,-0.5955485507466031,7.2,4,1,97,1987,-0.8338042838024718,4,1.1029548491864012,-1.044247265653801,6000000,3.552005,-1.3070527574884734,0,-0.385689667
70,5348,-1.7327934268594043,5.2,4,1,81,1987,-0.8915564420302936,4,-1.275522768676073,-0.6605585510077658,15000000,3.799983,-1.237259179684858,0,-0.113975467
71,7854,0.0441516920668476,6.1,5,1,106,1987,-0.8515987091426842,5,-0.2052078406379602,-0.5752943921975358,17000000,3.50111,-1.3213771900684397,0,-0.395379471
72,2538,-1.306326598317104,4.9,5,1,87,1987,-0.9363614018922978,8,-1.6322944113554438,-1.1295114244640314,4000000,1.489798,-1.8874623289087595,0,-0.8
73,4924,-0.6666263555036532,6.6,5,1,96,1987,-0.8983170480735284,0,0.3894115638276583,-0.3621339951719605,22000000,6.407061,-0.5034952924323866,0,-0.486007091
74,6198,2.1054080300213,7.9,4,1,135,1987,-0.8780033402926767,6,1.9354220154382675,-1.1295114244640314,4000000,3.350126,-1.3638717401942615,0,-0.5799105
75,3889,0.6838519348802984,5.3,5,1,115,1987,-0.9148199425422736,0,-1.1565988877829496,-0.916351027438456,9000000,5.979288,-0.6238922960286162,0,-0.399235667
76,1959,-0.9509375745318536,5.6,5,1,92,1987,-0.945593455899451,0,-0.7998272451035787,-0.873718948033341,10000000,4.904109,-0.926502161376805,0,-0.6939142
77,3731,0.1152294968238977,6.4,5,0,107,1987,-0.9173392249829132,0,0.1515638020414117,-1.044247265653801,6000000,2.527521,-1.595394480393565,0,-0.761218833
78,3860,-0.3823151364754528,5.0,5,1,100,1987,-0.91528234248391,0,-1.5133705304623206,-1.1499748225784867,3520000,2.605644,-1.5734067085801309,0,-0.840287784
79,4996,0.7549297396373484,6.7,5,1,116,1987,-0.8971690206322244,6,0.5083354447207826,-0.2342377569566153,25000000,2.258245,-1.6711823948724551,1,0.23800008
80,6960,0.4706185206091481,6.5,5,1,112,1987,-0.8658533832055424,4,0.270487682934535,-0.831086868628226,11000000,6.477975,-0.4835364986024276,1,1.310126
81,2786,-0.8798597697748034,5.5,3,1,93,1987,-0.9324070851500283,8,-0.918751125996702,-1.1721435038691463,3000000,1.542276,-1.872692359895468,1,2.289507
82,1924,-0.3823151364754528,5.8,5,0,100,1987,-0.9461515247945294,0,-0.5619794833173312,-1.2574076626793764,1000000,1.044389,-2.012822996774177,0,-0.7898
