budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket
4000000,1680358,Matewan,30.06.1988 00:00,135,7.9,6198,1987,0,-0.5799105,-60
24000000,4916871,Leonard Part 6,18.12.1987 00:00,85,2.2,7387,1987,0,-0.795130375,-80
5000000,1119112,Street Smart,20.03.1987 00:00,97,6.4,2096,1987,0,-0.7761776,-80
9000000,5406879,The Sicilian,23.10.1987 00:00,115,5.3,3889,1987,0,-0.399235667,-40
7000000,7019441,Hiding Out,6.11.1987 00:00,98,6.4,2584,1987,1,0.002777286,0
10000000,3060858,Malone,1.05.1987 00:00,92,5.6,1959,1987,0,-0.6939142,-70
6000000,1432687,A Prayer for the Dying,11.09.1987 00:00,107,6.4,3731,1987,0,-0.761218833,-80
5300000,3107551,White Mischief,6.05.1988 00:00,107,6.3,2171,1987,0,-0.413669623,-40
10000000,486434,September,18.12.1987 00:00,83,6.7,7620,1987,0,-0.9513566,-100
3520000,562187,Steel Dawn,31.03.1988 00:00,100,5,3860,1987,0,-0.840287784,-80
1300000,354704,Prison,8.12.1987 00:00,102,5.9,3019,1987,0,-0.727150769,-70
25000000,30950002,Nuts,11.12.1987 00:00,116,6.7,4996,1987,1,0.23800008,20
11000000,25411386,Tin Men,13.03.1987 00:00,112,6.5,6960,1987,1,1.310126,130
7500000,796368,Rampage,30.10.1992 00:00,97,6.3,1625,1987,0,-0.8938176,-90
3000000,9868521,Maid to Order,31.07.1987 00:00,93,5.5,2786,1987,1,2.289507,229
1000000,210200,Straight to Hell,26.06.1987 00:00,100,5.8,1924,1987,0,-0.7898,-80
100000,154323,"Silent Night, Deadly Night 2",10.04.1987 00:00,88,3.5,4329,1987,1,0.54323,50
8000000,1988962,Date with an Angel,20.11.1987 00:00,105,5.8,2163,1987,0,-0.75137975,-80
5800000,257043,Walker,4.12.1987 00:00,94,6.6,2684,1987,0,-0.955682241,-100
19000000,2228951,The Squeeze,10.07.1987 00:00,101,4.6,770,1987,0,-0.882686789,-90
5000000,6075793,Assassination,9.01.1987 00:00,88,5.1,2255,1987,1,0.2151586,20
75000,13133,Creepozoids,2.10.1987 00:00,72,3.5,1447,1987,0,-0.824893333,-80
12000000,5669831,Nadine,7.08.1987 00:00,83,5.5,3267,1987,0,-0.527514083,-50
1100000,1355728,From a Whisper to a Scream,4.09.1987 00:00,99,6,1489,1987,1,0.23248,20
5000000,858250,Tough Guys Don't Dance,18.09.1987 00:00,110,4.8,1025,1987,0,-0.82835,-80
4000000,743445,"Sister, Sister",9.02.1988 00:00,91,5.5,695,1987,0,-0.81413875,-80
15000000,5711976,Surrender,9.10.1987 00:00,105,5.4,692,1987,0,-0.6192016,-60
14000000,20240502,Critical Condition,16.01.1987 00:00,100,5.2,2453,1987,1,0.445750143,40
12000000,2325444,Weeds,16.10.1987 00:00,115,6,717,1987,0,-0.806213,-80
15000000,73707461,Beetlejuice,30.03.1988 00:00,92,7.5,206997,1988,1,3.913830733,390
39000000,128152300,Coming to America,29.06.1988 00:00,116,7,130485,1988,1,2.28595641,229
9000000,33244684,Child's Play,9.11.1988 00:00,87,6.6,67682,1988,1,2.693853778,270
28000000,83008852,Die Hard,20.07.1988 00:00,131,8.2,647000,1988,1,1.964601857,200
35000000,57269863,Willow,20.05.1988 00:00,126,7.3,86056,1988,1,0.6362818,60
3000000,1108462,Heathers,31.03.1989 00:00,103,7.3,67238,1988,0,-0.630512667,-60
25000000,172825435,Rain Man,16.12.1988 00:00,133,8,408473,1988,1,5.9130174,590
4000000,13008928,They Live,4.11.1988 00:00,94,7.3,83379,1988,1,2.252232,229
70000000,156452370,Who Framed Roger Rabbit,22.06.1988 00:00,104,7.7,153513,1988,1,1.235033857,120
18000000,114968774,Big,3.06.1988 00:00,104,7.3,164257,1988,1,5.387154111,540
20000000,78222753,Cocktail,29.07.1988 00:00,104,5.8,65825,1988,1,2.91113765,290
5000000,11990401,Cinema Paradiso,23.02.1990 00:00,155,8.5,171600,1988,1,1.3980802,140
19000000,8247943,The Blob,5.08.1988 00:00,95,6.4,24931,1988,0,-0.565897737,-60
3500000,4385516,Pumpkinhead,13.01.1989 00:00,86,6.2,15572,1988,1,0.253004571,30
7500000,63493712,A Fish Called Wanda,5.08.1988 00:00,108,7.6,114144,1988,1,7.465828267,750
2000000,15625095,Killer Klowns from Outer Space,27.05.1988 00:00,88,6.1,25440,1988,1,6.8125475,680
30000000,38413606,Midnight Run,20.07.1988 00:00,126,7.6,58318,1988,1,0.280453533,30
3000000,11090735,Hellbound: Hellraiser II,23.12.1988 00:00,97,6.5,33241,1988,1,2.696911667,270
15000000,34603943,Mississippi Burning,27.01.1989 00:00,128,7.8,70539,1988,1,1.306929533,130
12000000,78041829,The Naked Gun: From the Files of Police Squad!,2.12.1988 00:00,85,7.6,124515,1988,1,5.50348575,550
1100000,11806119,Bloodsport,29.04.1988 00:00,92,6.8,63368,1988,1,9.732835455,969
28000000,64000000,Working Girl,21.12.1988 00:00,113,6.7,44277,1988,1,1.285714286,130
14000000,109305000,Crocodile Dundee II,25.05.1988 00:00,108,5.5,46738,1988,1,6.8075,680
12500000,48092846,The Land Before Time,18.11.1988 00:00,69,7.4,66623,1988,1,2.84742768,280
15000000,111936400,Twins,9.12.1988 00:00,107,6,94295,1988,1,6.462426667,650
14000000,34700000,Dangerous Liaisons,24.02.1989 00:00,119,7.7,55823,1988,1,1.478571429,150
17000000,10006806,The Unbearable Lightness of Being,5.02.1988 00:00,171,7.4,28868,1988,0,-0.411364353,-40
5000000,17768757,Halloween 4: The Return of Michael Myers,21.10.1988 00:00,88,5.9,32498,1988,1,2.5537514,260
13000000,45661556,Young Guns,12.08.1988 00:00,107,6.8,45768,1988,1,2.512427385,250
29000000,34994648,Red Heat,17.06.1988 00:00,104,6,53769,1988,1,0.206712,20
6000000,12793213,Mystic Pizza,21.10.1988 00:00,104,6.2,20071,1988,1,1.132202167,110
63000000,53715611,Rambo III,25.05.1988 00:00,102,5.7,99555,1988,0,-0.147371254,-10
6000000,32069318,Acusados,14.10.1988 00:00,111,7.1,26126,1988,1,4.344886333,430
7000000,7630564,The Last Temptation of Christ,12.03.2004 00:00,164,7.6,42782,1988,1,0.090080571,10
2000000,6671108,Hairspray,26.02.1988 00:00,92,7,17169,1988,1,2.335554,229
13000000,49369899,A Nightmare on Elm Street 4: The Dream Master,19.08.1988 00:00,93,5.7,39701,1988,1,2.797684538,280
