,runtime,score,popularity,budget_norm,votes,score_norm,popularity_norm,budget,votes_norm,runtime_norm,isprofit,profitability_ratio
59,106,5.4,7.106954,-0.2683083805181845,30370,-1.012691580338222,-0.1648653306754214,22000000,-0.3919854072550759,0.0591218642147988,0,-0.211983182
60,82,7.2,7.075534,-0.7064507735414128,21420,1.129673863919253,-0.1734766086411629,12000000,-0.5529262256779194,-1.644171144695008,0,-0.685834167
61,130,6.7,12.189038,0.0822055339003982,74272,0.5345723516255099,1.2279811992178944,30000000,0.3974697670912564,1.7624148731246057,1,0.706196567
62,126,7.4,11.672701,-0.5750080556344443,126195,1.3677144688367504,1.0864687411976166,15000000,1.3311602827302846,1.478532704972971,1,1.923206667
63,118,6.5,13.031671,-0.2683083805181845,51642,0.2965317467080124,1.4589215870634304,22000000,-0.0094677436248271,0.9107683686697022,1,1.898477727
64,93,5.7,8.431956,-0.136865662611216,40916,-0.6556306729619763,0.1982779069809618,25000000,-0.2023449747313544,-0.8634951822780131,0,-0.3576968
65,94,7.4,14.011415,-0.9693362093553498,107669,1.3677144688367504,1.7274399804201317,6000000,0.998021779702173,-0.7925246402401046,1,2.807927333
66,113,7.3,7.290872,-0.4873795770297986,67453,1.2486941663780011,-0.1144589328108998,17000000,0.2748490474459637,0.5559156584801591,1,0.010919529
67,120,6.8,10.134408,-0.0492371840065703,45172,0.653592654084258,0.6648688489075291,27000000,-0.1258126704623464,1.0527094527455194,0,-0.04097
68,140,7.7,5.778465,-1.1183046229832474,11837,1.724775376212996,-0.5289642502626304,2600000,-0.7252497857836299,2.472120293503692,1,0.204073846
69,133,7.2,8.627019,-0.3559368591228302,22802,1.129673863919253,0.2517388144867372,20000000,-0.5280748054477105,1.9753264992383317,1,1.5624702
70,92,6.0,9.330087,-1.078871807611157,17500,-0.2985697655857307,0.4444286291531288,3500000,-0.62341650592569,-0.9344657243159218,1,3.0
71,107,6.6,11.394307,-0.7064507735414128,34794,0.4155520491667606,1.01016931032573,12000000,-0.3124320909754491,0.1300924062527074,1,2.337573667
72,106,5.9,7.907938,-0.3559368591228302,27387,-0.4175900680444788,0.0546603176413059,20000000,-0.4456263526579074,0.0591218642147988,1,1.8693758
73,88,6.2,6.573364,-0.6188222949367672,28550,-0.0605291606682332,-0.3111063176181352,14000000,-0.4247130373701122,-1.218347892467556,1,3.136855143
74,100,7.3,15.170192,-1.1007789272623183,15647,1.2486941663780011,2.0450259399143444,3000000,-0.6567375491142406,-0.3667013880126528,1,0.073856
75,97,7.2,3.552005,-0.9693362093553498,8970,1.129673863919253,-1.1391700408293095,6000000,-0.7768047943219866,-0.5796130141263787,0,-0.385689667
76,81,5.2,3.799983,-0.5750080556344443,5348,-1.2507321852557194,-1.0712067216889951,15000000,-0.8419363746937787,-1.7151416867329166,0,-0.113975467
77,88,7.6,8.782912,-0.5311938163321215,26467,1.6057550737542468,0.294464401880542,16000000,-0.4621699898589148,-1.218347892467556,0,-0.075451313
78,106,6.1,3.50111,-0.4873795770297986,7854,-0.1795494631269824,-1.1531188311560576,17000000,-0.7968729455353825,0.0591218642147988,0,-0.395379471
79,119,6.5,3.246823,-0.9693362093553498,7532,0.2965317467080124,-1.2228112576383787,6000000,-0.8026632185557351,0.9817389107076108,1,1.0706385
80,143,6.8,2.601933,-0.0492371840065703,6874,0.653592654084258,-1.3995562305004765,27000000,-0.8144955155973251,2.6850319196174177,0,-0.72617237
81,99,5.3,4.566325,-1.0131504486576728,6770,-1.1317118827969712,-0.8611754047309319,5000000,-0.8163656658896129,-0.4376719300505615,1,0.376062
82,87,4.9,1.489798,-1.0569646879599954,2538,-1.607793092631965,-1.7043590191838007,4000000,-0.8924663970142468,-1.289318434505465,0,-0.8
83,107,4.2,3.986985,1.1775615164584692,9094,-2.4409352098432056,-1.0199550920852525,55000000,-0.7745749997427204,0.1300924062527074,0,-0.738633073
84,96,6.6,6.407061,-0.2683083805181845,4924,0.4155520491667606,-0.3566849732367452,22000000,-0.8495608335777212,-0.6505835561642873,0,-0.486007091
85,135,7.9,3.350126,-1.0569646879599954,6198,1.9628159811304933,-1.1944990091439482,4000000,-0.8266514924971957,2.1172675833141485,0,-0.5799105
86,97,6.4,7.721588,-1.0131504486576728,2096,0.1775114442492642,0.0035873816478002,5000000,-0.9004145357564699,-0.5796130141263787,0,-0.7761776
87,115,5.3,5.979288,-0.8378934914483813,3889,-1.1317118827969712,-0.4739246998197872,9000000,-0.8681724254288545,0.6978567425559764,0,-0.399235667
88,98,6.4,2.026942,-0.925521970053027,2584,0.1775114442492642,-1.5571439876233195,7000000,-0.8916392151541964,-0.5086424720884701,1,0.002777286
