,budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,title,year_released,budget_norm,runtime_norm,score_norm,votes_norm,popularity_norm
45,40000000,49851591,Legal Eagles,20.06.1986 00:00,116,5.9,8374,1986,1,0.246289775,20,9930,tt0091396,Legal Eagles,12.798828,Legal Eagles,1986,0.5203479269236265,0.7688272845938849,-0.41759006804447885,-0.7875221940739435,1.3951063166822348
46,13000000,8475466,Wise Guys,18.04.1986 00:00,100,5.6,4573,1986,0,-0.348041077,-30,31659,tt0092226,Wise Guys,1.884204,Wise Guys,1986,-0.66263653423909,-0.36670138801265284,-0.7746509754207256,-0.8558725908141924,-1.5962641847676236
47,16000000,3800000,Power,31.01.1986 00:00,111,5.7,2287,1986,0,-0.7625,-80,46948,tt0091786,Power,1.828322,Power,1986,-0.5311938163321215,0.41397457440434193,-0.6556306729619763,-0.896979932815826,-1.6115797619567251
48,20000000,22905500,Crimes of the Heart,23.01.1987 00:00,105,6.4,3079,1986,1,0.145275,10,48259,tt0090886,Crimes of the Heart,2.524937,Crimes of the Heart,1987,-0.3559368591228302,-0.011848677823109785,0.1775114442492642,-0.8827380190514805,-1.4206585207057671
49,6000000,9947631,Murphy's Law,18.04.1986 00:00,100,5.9,3561,1986,1,0.6579385,70,33055,tt0091575,Murphy's Law,2.722264,Murphy's Law,1986,-0.9693362093553498,-0.36670138801265284,-0.41759006804447885,-0.8740705917353006,-1.366577118823339
50,18000000,11957943,Brighton Beach Memoirs,25.12.1986 00:00,108,6.9,2720,1986,0,-0.335669833,-30,32060,tt0090774,Brighton Beach Memoirs,2.563112,Brighton Beach Memoirs,1986,-0.4435653377274758,0.20106294829061605,0.7726129565430073,-0.8891936340027432,-1.4101959001983777
51,25000000,4007250,Tai-Pan,7.11.1986 00:00,127,5.5,1340,1986,0,-0.83971,-80,29584,tt0092042,Tai-Pan,2.456811,Tai-Pan,1986,-0.136865662611216,1.5495032470108798,-0.8936712778794738,-0.9140090898042542,-1.4393298104159555
52,14000000,18034150,"Jo Jo Dancer, Your Life Is Calling",2.05.1986 00:00,97,6.3,1288,1986,1,0.288153571,30,63510,tt0091295,"Jo Jo Dancer, Your Life Is Calling",0.109362,"Jo Jo Dancer, Your Life Is Calling",1986,-0.6188222949367672,-0.5796130141263787,0.058491141790514976,-0.9149441649503981,-2.0826950506897357
53,10000000,6947787,Blue City,2.05.1986 00:00,83,4.4,792,1986,0,-0.3052213,-30,83078,tt0090753,Blue City,0.310867,Blue City,1986,-0.7940792521460586,-1.5732006026570993,-2.202894604925708,-0.923863343267463,-2.0274685845380245
54,27000000,38122105,The Running Man,13.11.1987 00:00,101,6.6,120345,1987,1,0.411929815,40,865,tt0093894,The Running Man,9.389976,The Running Man,1987,-0.04923718400657031,-0.29573084597474425,0.4155520491667606,1.2259643287890962,0.4608424046493191
55,22700000,38119483,Spaceballs,24.06.1987 00:00,96,7.1,146748,1987,1,0.679272379,70,957,tt0094012,Spaceballs,9.10373,Spaceballs,1987,-0.2376384130065585,-0.6505835561642873,1.0106535614605037,1.7007487342436591,0.38239097649586035
56,15000000,65207127,Lethal Weapon,6.03.1987 00:00,110,7.6,204328,1987,1,3.3471418,330,941,tt0093409,Lethal Weapon,13.183804,Lethal Weapon,1987,-0.5750080556344443,0.3430040323664333,1.6057550737542468,2.7361646364545336,1.500616671428872
57,25000000,76270454,The Untouchables,3.06.1987 00:00,119,7.9,234254,1987,1,2.05081816,210,117,tt0094226,The Untouchables,11.062203,The Untouchables,1987,-0.136865662611216,0.9817389107076109,1.9628159811304935,3.274300383060345,0.9191495822055951
58,3600000,5923044,Evil Dead II,13.03.1987 00:00,84,7.8,123325,1987,1,0.64529,60,765,tt0092991,Evil Dead II,13.520764,Evil Dead II,1987,-1.0744903836809248,-1.5022300606191907,1.8437956786717442,1.279551327548881,1.5929672832473407
59,22000000,17336370,Masters of the Universe,7.08.1987 00:00,106,5.4,30370,1987,0,-0.211983182,-20,11649,tt0093507,Masters of the Universe,7.106954,Masters of the Universe,1987,-0.2683083805181845,0.05912186421479883,-1.012691580338222,-0.3919854072550759,-0.1648653306754214
60,12000000,3769990,The Monster Squad,14.08.1987 00:00,82,7.2,21420,1987,0,-0.685834167,-70,13509,tt0093560,The Monster Squad,7.075534,The Monster Squad,1987,-0.7064507735414128,-1.644171144695008,1.129673863919253,-0.5529262256779194,-0.17347660864116293
61,30000000,51185897,The Living Daylights,31.07.1987 00:00,130,6.7,74272,1987,1,0.706196567,70,708,tt0093428,The Living Daylights,12.189038,The Living Daylights,1987,0.0822055339003982,1.7624148731246057,0.5345723516255099,0.3974697670912564,1.2279811992178944
62,15000000,43848100,Wall Street,11.12.1987 00:00,126,7.4,126195,1987,1,1.923206667,190,10673,tt0094291,Wall Street,11.672701,Wall Street,1987,-0.5750080556344443,1.478532704972971,1.3677144688367504,1.3311602827302846,1.0864687411976166
63,22000000,63766510,The Witches of Eastwick,12.06.1987 00:00,118,6.5,51642,1987,1,1.898477727,190,6069,tt0094332,The Witches of Eastwick,13.031671,The Witches of Eastwick,1987,-0.2683083805181845,0.9107683686697022,0.2965317467080124,-0.009467743624827161,1.4589215870634304
64,25000000,16057580,Over the Top,13.02.1987 00:00,93,5.7,40916,1987,0,-0.3576968,-40,1825,tt0093692,Over the Top,8.431956,Over the Top,1987,-0.136865662611216,-0.8634951822780131,-0.6556306729619763,-0.20234497473135443,0.1982779069809618
